"TOA5","8552","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","fasttable"
"TIMESTAMP","RECORD","rmcid","rmcutc","rmcstatus","rmclatitude","rmcin_s_ind","rmclongitude","rmce_w_indicator","rmcspeed","rmccourse","rmcutcdate","rmcmagvariation","rmcmage_w","rmcchecksum","HMR3000string","compass_mode","compass_heading","compass_headingstat","compass_pitch","compass_pitchstat","compass_roll","compass_rollstat","compass_checksum","Gill_Adr","Gill_Diag","u","v","w","Ts","AirTC_Min","AirTC_Max","AirTC_Avg","RH_Min","RH_Max","RH_Avg","CPC_aux","LiveBin_1dM","LiveBin_2dM","LiveBin_3dM","LiveBin_4dM","LiveBin_5dM","LiveBin_6dM","LiveBin_7dM","LiveBin_8dM","LiveBin_9dM","LiveBin_10dM","LiveBin_11dM","LiveBin_12dM","LiveBin_13dM","LiveBin_14dM","LiveBin_15dM","LiveBin_16dM","CO2","H2O","P_LI75","diag_LI75"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","m/s","m/s","m/s","degC","DegC","DegC","DegC","%","%","%","p/cm3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","mmol/m3","mmol/m3","kPa","#"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Max","Avg","Min","Max","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-10-29 12:00:01",14412,"GPRMC","110007.3","A","5157.19630","N","00737.16860","E","000.05","021.0","291019","002.0","E","5B","PTNTHPR,,N,,P,15.3,N*1D","PTNTHPR","NAN","N","NAN","P",15.3,"N","1D",4,0,-0.44,0.55,-0.35,8.81,11.25,11.25,11.25,59.91,59.91,59.91,8117.757,18.634,0.108,0.092,0.071,0.078,0.093,0.243,0.324,0.836,0,0,1.68,0,0,0,0,17.72291,317.5525,101.8315,247
"2019-10-29 12:00:02",14413,"GPRMC","110008.3","A","5157.19623","N","00737.16873","E","000.07","021.0","291019","002.0","E","56","PTNTHPR,,N,,P,15.2,N*1C","PTNTHPR","NAN","N","NAN","P",15.2,"N","1C",6,1,-0.25,0.96,-0.25,8.82,11.23,11.23,11.23,59.84,59.84,59.84,8061.59,18.864,0.143,0.084,0.135,0.118,0.209,0.34,0.54,1.044,1.494,0.8,0,0,0,0,0,17.86955,319.9541,101.7949,247
"2019-10-29 12:00:03",14414,"GPRMC","110009.3","A","5157.19616","N","00737.16885","E","000.06","021.0","291019","002.0","E","59","PTNTHPR,,N,,P,15.2,N*1C","PTNTHPR","NAN","N","NAN","P",15.2,"N","1C",2,38,-0.35,1.03,-0.19,9.48,11.24,11.24,11.24,59.77,59.77,59.77,7904.653,18.679,0.12,0.101,0.016,0.104,0.139,0.146,0.54,1.462,0.374,0.8,0,0,0,0,0,17.73086,318.9003,101.842,247
"2019-10-29 12:00:04",14415,"GPRMC","110010.3","A","5157.19611","N","00737.16898","E","000.07","021.0","291019","002.0","E","5B","PTNTHPR,,N,,P,15.2,N*1C","PTNTHPR","NAN","N","NAN","P",15.2,"N","1C",4,0,-0.16,0.94,0.1,9.16,11.24,11.24,11.24,59.72,59.72,59.72,8193.747,18.431,0.101,0.075,0.055,0.091,0.139,0.194,0.216,0.418,0.747,1.599,0,0,0,0,0,17.83355,318.9602,101.842,247
"2019-10-29 12:00:05",14416,"GPRMC","110011.3","A","5157.19606","N","00737.16912","E","000.16","021.0","291019","002.0","E","5F","PTNTHPR,,N,,P,15.2,N*1C","PTNTHPR","NAN","N","NAN","P",15.2,"N","1C",6,1,-0.36,0.57,0.11,9.52,11.25,11.25,11.25,59.71,59.71,59.71,8606.738,14.215,0.157,0.079,0.119,0.052,0.255,0.097,0.324,0,0,0.8,0,0,0,0,0,17.76327,318.7138,101.842,247
"2019-10-29 12:00:06",14417,"GPRMC","110012.3","A","5157.19599","N","00737.16929","E","000.08","021.0","291019","002.0","E","5E","PTNTHPR,,N,,P,15.2,N*1C","PTNTHPR","NAN","N","NAN","P",15.2,"N","1C",2,38,-0.25,0.27,-0.15,8.75,11.25,11.25,11.25,59.65,59.65,59.65,8910.7,10.972,0.094,0.079,0.079,0.078,0.07,0.292,0.432,1.044,0.374,1.599,3.36,0,0,0,0,17.73621,320.1865,101.8575,247
"2019-10-29 12:00:07",14418,"GPRMC","110013.3","A","5157.19593","N","00737.16943","E","000.14","021.0","291019","002.0","E","54","PTNTHPR,,N,,P,15.2,N*1C","PTNTHPR","NAN","N","NAN","P",15.2,"N","1C",4,0,-0.53,0.17,-0.19,8.61,11.24,11.24,11.24,59.65,59.65,59.65,9074.244,11.105,0.131,0.097,0.087,0.065,0.185,0.049,0.216,0.418,0,0,1.68,0,0,0,23.295,17.72979,318.9644,101.842,247
"2019-10-29 12:00:08",14419,"GPRMC","110014.3","A","5157.19591","N","00737.16946","E","000.07","021.0","291019","002.0","E","56","PTNTHPR,,N,,P,15.2,N*1C","PTNTHPR","NAN","N","NAN","P",15.2,"N","1C",6,1,-0.13,-0.05,0.03,9.11,11.26,11.26,11.26,59.65,59.65,59.65,9196.49,11.238,0.12,0.106,0.119,0.065,0.255,0.146,0.216,0.418,0.747,1.599,0,0,0,0,0,17.71755,318.6119,101.842,247
