,TIMESTAMP,lat,lon,LiveBin_1dM,LiveBin_2dM,LiveBin_3dM,LiveBin_4dM,LiveBin_5dM,LiveBin_6dM,LiveBin_7dM,LiveBin_8dM,LiveBin_9dM,LiveBin_10dM,LiveBin_11dM,LiveBin_12dM,LiveBin_13dM,LiveBin_14dM,LiveBin_15dM,LiveBin_16dM
2,2019-10-31 09:58:05,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
3,2019-10-31 09:58:06,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
4,2019-10-31 09:58:07,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
5,2019-10-31 09:58:08,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
6,2019-10-31 09:58:09,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
7,2019-10-31 09:58:10,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
8,2019-10-31 09:58:11,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
9,2019-10-31 09:58:12,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
10,2019-10-31 09:58:13,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
11,2019-10-31 09:58:14,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
12,2019-10-31 09:58:15,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
13,2019-10-31 09:58:16,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
14,2019-10-31 09:58:17,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
15,2019-10-31 09:58:18,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
16,2019-10-31 09:58:19,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
17,2019-10-31 09:58:20,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
18,2019-10-31 09:58:21,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
19,2019-10-31 09:58:22,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
20,2019-10-31 09:58:23,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
21,2019-10-31 09:58:24,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
22,2019-10-31 09:58:25,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
23,2019-10-31 09:58:26,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
24,2019-10-31 09:58:27,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
25,2019-10-31 09:58:28,51.96466,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
26,2019-10-31 09:58:29,51.96466,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
27,2019-10-31 09:58:30,51.96466,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
28,2019-10-31 09:58:31,51.96466,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
29,2019-10-31 09:58:32,51.96466,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
30,2019-10-31 09:58:33,51.96466,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
31,2019-10-31 09:58:34,51.96466,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
32,2019-10-31 09:58:35,51.96466,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
33,2019-10-31 09:58:36,51.96466,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
34,2019-10-31 09:58:37,51.96466,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
35,2019-10-31 09:58:38,51.96466,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
36,2019-10-31 09:58:39,51.96466,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
37,2019-10-31 09:58:40,51.96466,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
38,2019-10-31 09:58:41,51.96465,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
39,2019-10-31 09:58:42,51.96465,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
40,2019-10-31 09:58:43,51.96465,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
41,2019-10-31 09:58:44,51.96465,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
42,2019-10-31 09:58:45,51.96465,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
43,2019-10-31 09:58:46,51.96465,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
44,2019-10-31 09:58:47,51.96465,07.60569,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
45,2019-10-31 09:58:48,51.96465,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
46,2019-10-31 09:58:49,51.96465,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
47,2019-10-31 09:58:50,51.96465,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
48,2019-10-31 09:58:51,51.96465,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
49,2019-10-31 09:58:52,51.96465,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
50,2019-10-31 09:58:53,51.96465,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
51,2019-10-31 09:58:54,51.96465,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
52,2019-10-31 09:58:55,51.96465,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
53,2019-10-31 09:58:56,51.96465,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
54,2019-10-31 09:58:57,51.96465,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
55,2019-10-31 09:58:58,51.96465,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
56,2019-10-31 09:58:59,51.96465,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
57,2019-10-31 09:59:00,51.96465,07.60570,1.322,1.091,0.779,0.42,0.157,0.162,0.146,0.216,1.253,1.121,2.399,0,6.484,6.256,0,0
